Clothing ID,Age,Title,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
697,39,Love this dress!,5,1,0,Initmates,Intimate,Lounge
1060,65,Lovely!,4,1,3,General Petite,Bottoms,Pants
1002,29,,4,1,5,General,Bottoms,Skirts
949,38,Beautifully cut lightweight coat,5,1,1,General,Tops,Sweaters
684,36,,5,1,2,Initmates,Intimate,Lounge
862,59,,5,1,0,General,Tops,Knits
862,47,,4,1,1,General,Tops,Knits
862,40,,5,1,0,General,Tops,Knits
910,23,Soft & lovely,5,1,0,General,Tops,Fine gauge
89,67,Some things you should know...,4,1,1,Initmates,Intimate,Sleep
862,48,Beautiful!,5,1,9,General,Tops,Knits
862,43,Love the two tone design,4,1,0,General,Tops,Knits
862,40,,5,1,0,General,Tops,Knits
823,52,,5,1,0,General,Tops,Blouses
910,56,Love the color!,5,1,0,General,Tops,Fine gauge
862,33,Love the embroidery!,5,1,0,General,Tops,Knits
862,46,Cute for fall,4,1,1,General,Tops,Knits
862,41,Love,5,1,2,General,Tops,Knits
1104,39,,3,1,3,General,Dresses,Dresses
862,39,Flattering and comfortable,5,1,34,General,Tops,Knits
862,66,Cute top,4,1,2,General,Tops,Knits
862,61,Soft and cute as can be!,5,1,2,General,Tops,Knits
368,33,,2,0,3,Initmates,Intimate,Intimates
862,31,"Boring front, great back",3,0,0,General,Tops,Knits
1095,36,,4,1,0,General Petite,Dresses,Dresses
368,52,Soft and comfortable,4,1,1,Initmates,Intimate,Intimates
1095,41,Gorgeous dress!,5,1,0,General Petite,Dresses,Dresses
368,36,Itchy tags,1,0,0,Initmates,Intimate,Intimates
862,28,Must have,5,1,0,General,Tops,Knits
862,57,Cute top! love the brand,5,1,1,General,Tops,Knits
862,43,Love this top,5,1,0,General,Tops,Knits
862,58,,4,1,2,General,Tops,Knits
862,60,Super cute and unique top,4,1,9,General,Tops,Knits
862,40,Beautiful top,5,1,1,General,Tops,Knits
862,37,I wanted to love this top...,2,0,0,General,Tops,Knits
1078,56,Great summer fabric!,3,0,1,General Petite,Dresses,Dresses
845,38,"Cute, but massive sweep",4,1,10,General Petite,Tops,Blouses
822,36,Short and boxy,2,0,0,General,Tops,Blouses
850,27,Beautiful design,5,1,4,General,Tops,Blouses
866,47,,4,1,0,General Petite,Tops,Knits
1081,59,,5,1,1,General Petite,Dresses,Dresses
845,48,Very very cute but a lot of fabric,5,1,5,General Petite,Tops,Blouses
1082,31,Runs large in top and waist,4,1,0,General,Dresses,Dresses
850,28,Zipper broke,2,0,0,General Petite,Tops,Blouses
836,47,Obsessed,5,1,1,General,Tops,Blouses
1081,62,So cute...but dry clean?!,4,1,2,General Petite,Dresses,Dresses
1072,68,Elegant classic dress,5,1,1,General,Dresses,Dresses
863,61,,5,1,4,General Petite,Tops,Knits
1133,33,Cute parka!,5,1,0,General,Jackets,Outerwear
822,68,Just lovely,5,1,3,General,Tops,Blouses
861,37,Casual & unique tee,3,1,0,General Petite,Tops,Knits
866,58,,1,0,2,General Petite,Tops,Knits
850,39,Neutral blue,4,1,0,General Petite,Tops,Blouses
1081,39,True to size to large,4,1,9,General Petite,Dresses,Dresses
845,38,Huge,2,0,4,General Petite,Tops,Blouses
836,24,"Pretty, but not for me...",4,1,3,General,Tops,Blouses
1078,51,Sweet flattering dress,4,1,0,General Petite,Dresses,Dresses
850,29,,5,1,5,General Petite,Tops,Blouses
861,23,,5,1,0,General Petite,Tops,Knits
1081,31,,5,1,0,General,Dresses,Dresses
850,23,"Beautifully made, but not versatile",4,1,3,General Petite,Tops,Blouses
863,83,Casual elegance!,5,1,14,General,Tops,Knits
845,44,,1,0,0,General Petite,Tops,Blouses
861,44,Huge,1,0,0,General Petite,Tops,Knits
1133,50,,5,1,0,General,Jackets,Outerwear
861,33,Pernette henley,3,0,17,General Petite,Tops,Knits
861,39,Comfy,4,1,0,General Petite,Tops,Knits
863,40,"Simple, stylish, lovely-runs a bit big",4,1,5,General,Tops,Knits
822,69,Stunning lace top,5,1,2,General,Tops,Blouses
822,23,Not a fan,2,0,9,General,Tops,Blouses
863,51,,2,0,0,General,Tops,Knits
836,66,Excited ... but ...,5,1,0,General,Tops,Blouses
836,47,Beautiful shirt but runs small!,4,1,11,General,Tops,Blouses
836,66,Beautiful,4,1,0,General,Tops,Blouses
836,23,Perfect fall shirt!,5,1,3,General,Tops,Blouses
1081,47,,5,1,0,General,Dresses,Dresses
861,44,Poor quality,1,0,11,General Petite,Tops,Knits
1081,44,An almost for me...,3,1,4,General,Dresses,Dresses
836,50,"Beautiful, stunning, cozy top!",5,1,24,General,Tops,Blouses
1081,61,Cute and comfy,5,1,3,General,Dresses,Dresses
1082,32,Disappointing quality,2,0,0,General,Dresses,Dresses
863,52,Cute tee,4,1,0,General,Tops,Knits
1072,51,Very vintage feel,4,1,1,General,Dresses,Dresses
1078,32,,5,1,2,General Petite,Dresses,Dresses
850,37,Awkward fitting,2,0,0,General,Tops,Blouses
836,54,Cozy casual - perfect for fall,5,1,4,General,Tops,Blouses
861,33,The perfect striped t,5,1,0,General Petite,Tops,Knits
966,63,,5,1,0,General,Jackets,Jackets
1196,29,,5,1,0,General Petite,Dresses,Dresses
836,24,So beautiful! gorgeous orange color!,5,1,0,General,Tops,Blouses
923,50,"Lovely top, not lovely shape",3,0,2,General,Tops,Sweaters
1072,34,"Wonderfully made, poorly designed for busty gals",3,1,1,General,Dresses,Dresses
1133,71,,4,1,0,General,Jackets,Outerwear
1133,30,,5,1,0,General,Jackets,Outerwear
966,52,Cute vest but...,4,1,0,General,Jackets,Jackets
863,28,Great top,5,1,0,General,Tops,Knits
845,62,,4,1,3,General Petite,Tops,Blouses
1081,39,Just ok,3,1,0,General,Dresses,Dresses
861,46,Pernette henley,4,1,1,General Petite,Tops,Knits
966,36,Stylish and versatile!,5,1,0,General,Jackets,Jackets
845,65,You'll smile on a humid summer's day,5,1,12,General Petite,Tops,Blouses
861,35,,4,1,0,General Petite,Tops,Knits
966,31,A new staple for my wardrobe,4,1,0,General,Jackets,Jackets
836,52,Runs short,4,1,0,General,Tops,Blouses
126,34,Feminine alternative to your shapeless puffer,4,1,1,Initmates,Intimate,Lounge
1008,31,Love. love. love this skirt!!,5,1,1,General,Bottoms,Skirts
829,36,Pretry top,5,1,0,General,Tops,Blouses
828,39,,4,1,2,General,Tops,Blouses
1126,35,,5,1,0,General,Jackets,Outerwear
1008,51,Great classic,5,1,0,General,Bottoms,Skirts
829,39,"Beautiful, but scratchy",3,0,9,General,Tops,Blouses
828,39,On the fence,3,1,2,General,Tops,Blouses
1008,39,"So pretty, a bit long and bigger than what i read",5,1,0,General,Bottoms,Skirts
1011,47,Cute skirt!,5,1,1,General,Bottoms,Skirts
1008,64,Very pretty,5,1,0,General,Bottoms,Skirts
1008,38,A beautiful skirt!,5,1,2,General,Bottoms,Skirts
1008,36,Gorgeous skirt!,5,1,1,General,Bottoms,Skirts
1008,39,Beautiful,4,1,0,General,Bottoms,Skirts
829,53,Not impressed...,3,0,0,General,Tops,Blouses
829,36,Fair,3,1,1,General,Tops,Blouses
829,44,Great colors but....,3,1,0,General Petite,Tops,Blouses
829,48,Beautiful colors,5,1,0,General Petite,Tops,Blouses
1008,37,,5,1,1,General,Bottoms,Skirts
523,43,Australian sizing!!,3,0,2,Initmates,Intimate,Swim
829,53,,4,1,7,General Petite,Tops,Blouses
829,33,Vibrant metallic,4,1,0,General Petite,Tops,Blouses
1126,39,So sad not mine,4,1,0,General,Jackets,Outerwear
829,52,"Scratchy, uncomfortable top",1,0,8,General Petite,Tops,Blouses
829,64,Yes it's scratchy but it can work out!,4,1,2,General Petite,Tops,Blouses
1008,52,Classy and cute,5,1,7,General,Bottoms,Skirts
1126,42,So pretty!,4,1,0,General,Jackets,Outerwear
829,35,,3,0,0,General Petite,Tops,Blouses
1020,56,Just as pictured,5,1,6,General Petite,Bottoms,Skirts
895,55,Great purchase,5,1,0,General,Tops,Fine gauge
862,40,,5,1,0,General,Tops,Knits
1104,47,Antoher beautiful maeve dress!,5,1,3,General,Dresses,Dresses
670,36,Fun,5,1,0,Initmates,Intimate,Sleep
329,46,Comfy and adorable!,5,1,0,Initmates,Intimate,Sleep
670,66,Beautiful fabric and style,4,1,0,Initmates,Intimate,Sleep
868,51,Great for summer,4,1,0,General Petite,Tops,Knits
1020,34,Wonderful but going back,5,1,5,General Petite,Bottoms,Skirts
862,30,"Comfy, casual shirt",4,1,4,General,Tops,Knits
895,43,Perfect casual sweater,5,1,9,General,Tops,Fine gauge
895,52,,5,1,0,General,Tops,Fine gauge
1094,35,Not for me,2,0,0,General Petite,Dresses,Dresses
895,41,Perfect for warmer climates,5,1,3,General,Tops,Fine gauge
895,39,Need petite,5,1,1,General,Tops,Fine gauge
1020,39,Fun,4,1,1,General Petite,Bottoms,Skirts
895,50,Completes so many outfits!,5,1,5,General,Tops,Fine gauge
1020,27,Size up!,4,1,1,General Petite,Bottoms,Skirts
895,33,Not as pictured.,2,0,8,General,Tops,Fine gauge
895,35,"Fits strange, flimsy material",2,0,0,General,Tops,Fine gauge
1020,34,"Nice color, love the snap buttons",4,1,0,General Petite,Bottoms,Skirts
596,41,Modern comfort,5,1,2,General,Trend,Trend
1094,54,"It's gorgeous, but...",4,1,0,General Petite,Dresses,Dresses
1020,41,Runs very small,4,1,4,General Petite,Bottoms,Skirts
895,47,Pretty,4,1,0,General Petite,Tops,Fine gauge
895,52,Nice but too thin,2,0,3,General Petite,Tops,Fine gauge
895,46,,5,1,0,General Petite,Tops,Fine gauge
1020,22,,5,1,1,General Petite,Bottoms,Skirts
1098,40,,3,1,0,General,Dresses,Dresses
895,62,Lovely and feminine,5,1,9,General Petite,Tops,Fine gauge
862,26,A great piece,5,1,2,General Petite,Tops,Knits
1020,38,Love everything about this skirt,5,1,3,General Petite,Bottoms,Skirts
895,53,Perfect comfy now top!,5,1,0,General,Tops,Fine gauge
1020,49,Poor quality,3,0,0,General Petite,Bottoms,Skirts
895,43,Huuuuge,3,0,0,General,Tops,Fine gauge
895,36,,5,1,0,General,Tops,Fine gauge
895,36,Not worth cost,3,0,0,General,Tops,Fine gauge
895,63,Tunic doesn't look like i am covering up,5,1,1,General,Tops,Fine gauge
828,56,Too big,4,0,4,General,Tops,Blouses
1020,48,Runs small too bad....,3,0,9,General Petite,Bottoms,Skirts
862,43,,5,1,1,General,Tops,Knits
1020,44,Skirt dimensions are off,4,1,1,General Petite,Bottoms,Skirts
895,40,,5,1,0,General,Tops,Fine gauge
862,44,,1,0,1,General,Tops,Knits
895,54,Comfort & style,5,1,0,General,Tops,Fine gauge
1020,72,,4,1,5,General Petite,Bottoms,Skirts
1075,52,Classic,4,1,3,General,Dresses,Dresses
1104,47,My new favorite dress,5,1,0,General,Dresses,Dresses
1020,67,Not as pictured!,1,0,17,General Petite,Bottoms,Skirts
1094,39,Autumn fever,5,1,0,General Petite,Dresses,Dresses
305,46,Very small,2,0,0,Initmates,Intimate,Swim
828,64,Too cute to pass up!,5,1,3,General,Tops,Blouses
1094,30,Falling goddess,5,1,0,General Petite,Dresses,Dresses
828,38,,5,1,1,General,Tops,Blouses
895,36,Pretty and comfy,4,1,5,General Petite,Tops,Fine gauge
1020,52,Perfect skirt,5,1,1,General Petite,Bottoms,Skirts
895,61,,5,1,0,General Petite,Tops,Fine gauge
647,29,"Easy, comfy & cute",5,1,1,General Petite,Intimate,Lounge
1025,38,,4,1,10,General,Bottoms,Jeans
1025,35,Gorgeous,5,1,14,General,Bottoms,Jeans
815,55,Pretty,5,1,1,General Petite,Tops,Blouses
1066,57,Great crop pant,4,1,3,General,Bottoms,Pants
840,55,Cute,4,1,5,General,Tops,Blouses
1026,39,Why so long?,4,1,0,General,Bottoms,Jeans
840,39,"Runs large, bohemian",5,1,13,General,Tops,Blouses
1066,46,"Wonderful weight for summer, flattering",5,1,8,General,Bottoms,Pants
840,37,Light & large,2,0,1,General,Tops,Blouses
1030,29,"Must have, right on trend, but still classic",5,1,1,General,Bottoms,Jeans
840,83,Pretty but runs large!,5,1,0,General,Tops,Blouses
1066,29,Comfortable & stylish crop pants,5,1,1,General,Bottoms,Pants
647,49,Cozy sunday!,5,1,0,General Petite,Intimate,Lounge
1066,42,Not what i expected,2,0,0,General,Bottoms,Pants
872,63,Fun change from the norm,5,1,0,General,Tops,Knits
840,56,,3,0,20,General,Tops,Blouses
1066,55,Perfect for mediterenian summer,4,1,0,General,Bottoms,Pants
647,32,"Loved this, then washed it twice and it fell apart",1,0,3,General Petite,Intimate,Lounge
1066,26,Super flattering,5,1,0,General,Bottoms,Pants
840,60,,4,1,0,General,Tops,Blouses
1066,48,Recommend but not for me,3,1,0,General,Bottoms,Pants
872,38,Love this!,5,1,0,General,Tops,Knits
1066,49,Cute but small,3,1,1,General,Bottoms,Pants
1115,41,Really nice sweater coat,4,1,1,General,Jackets,Outerwear
1030,28,,5,1,0,General,Bottoms,Jeans
1018,28,,4,1,0,General,Bottoms,Skirts
1026,48,Perfect,5,1,1,General,Bottoms,Jeans
840,32,Very cute top,5,1,0,General,Tops,Blouses
1066,29,Super cute pants,5,1,1,General,Bottoms,Pants
647,32,"Cute, casual dress",5,1,6,General Petite,Intimate,Lounge
840,28,,5,1,0,General,Tops,Blouses
840,51,Runs big!,4,1,1,General,Tops,Blouses
840,44,Stylish and understated elegant,5,1,1,General,Tops,Blouses
1018,43,Pockets!,4,1,0,General,Bottoms,Skirts
840,48,Fits like a maternity top,3,0,1,General,Tops,Blouses
824,37,Love this top,5,1,1,General,Tops,Blouses
1115,31,Love this coat!,5,1,2,General,Jackets,Outerwear
840,50,Adorable and flattering,5,1,0,General,Tops,Blouses
878,47,"Cute, but no go!",3,0,1,General,Tops,Knits
984,56,Pretty denim jacket,5,1,2,General Petite,Jackets,Jackets
1104,25,Amazing peach color!,5,1,6,General,Dresses,Dresses
878,63,,4,1,0,General,Tops,Knits
1104,54,Perfection.,5,1,0,General,Dresses,Dresses
984,28,Nice quality but too short for my tall frame,4,1,0,General Petite,Jackets,Jackets
866,26,"Cute top, but back is more of a jersey material",4,1,0,General,Tops,Knits
1104,29,,5,1,0,General,Dresses,Dresses
868,61,Nice color,3,1,0,General,Tops,Knits
984,45,Perfect jean jacket,5,1,1,General Petite,Jackets,Jackets
984,39,Great asset,5,1,7,General Petite,Jackets,Jackets
1104,36,Gorgeous,5,1,0,General,Dresses,Dresses
878,41,Comfy and fun!,5,1,11,General,Tops,Knits
1182,37,Great tee,5,1,0,General Petite,Tops,Knits
868,55,Pretty and feminine,5,1,0,General,Tops,Knits
868,83,Sooooooooo cute!,5,1,1,General,Tops,Knits
868,35,Peplum hem tee,3,1,2,General,Tops,Knits
565,38,,5,1,3,General Petite,Trend,Trend
984,35,So comfortable and chic,5,1,0,General Petite,Jackets,Jackets
1104,45,,5,1,7,General,Dresses,Dresses
868,65,,5,1,4,General,Tops,Knits
878,41,Perfect sweatshirt,5,1,1,General,Tops,Knits
868,69,Clever white edges,4,1,0,General,Tops,Knits
1104,36,Love this dress!,5,1,0,General,Dresses,Dresses
868,42,,2,0,1,General,Tops,Knits
984,69,,5,1,0,General Petite,Jackets,Jackets
878,46,"Not much structure, boxy...",2,0,0,General,Tops,Knits
984,55,Almost perfect denim jacket,5,1,0,General Petite,Jackets,Jackets
984,36,Perfect,5,1,2,General Petite,Jackets,Jackets
984,71,,5,1,0,General Petite,Jackets,Jackets
1024,65,Super nice,5,1,0,General,Bottoms,Jeans
984,68,I wish it were alless stiff denim. runs small,3,1,16,General Petite,Jackets,Jackets
984,43,Terrific denim jacket,5,1,3,General Petite,Jackets,Jackets
1104,30,,5,1,7,General,Dresses,Dresses
1024,40,Cute versatile culottes,5,1,0,General,Bottoms,Jeans
984,47,My new favorite denim jacket,5,1,0,General Petite,Jackets,Jackets
1104,39,,5,1,0,General,Dresses,Dresses
984,34,Favorite jean jacket,5,1,0,General Petite,Jackets,Jackets
1104,38,,4,1,1,General,Dresses,Dresses
984,38,Perfect denim jacket,5,1,0,General Petite,Jackets,Jackets
895,36,,5,1,0,General,Tops,Fine gauge
1104,41,Best dress ever!,5,1,0,General,Dresses,Dresses
1131,36,Stylish jacket,3,1,2,General,Jackets,Outerwear
984,47,Adorable!,5,1,0,General Petite,Jackets,Jackets
1104,63,"Stunning, flattering, and versatile.",5,1,0,General,Dresses,Dresses
831,35,Pretty blouse!,5,1,0,General,Tops,Blouses
984,35,Too distressed,4,1,2,General Petite,Jackets,Jackets
1104,56,Stunning...,5,1,0,General,Dresses,Dresses
836,41,Cute top,5,1,0,General,Tops,Blouses
1089,37,Runs large and zipper sticks,3,0,6,General Petite,Dresses,Dresses
844,34,Very unflattering,3,0,0,General Petite,Tops,Blouses
836,32,Adorable,4,1,4,General,Tops,Blouses
836,60,Didn't work for me,3,0,3,General,Tops,Blouses
836,21,Beautiful top!,5,1,8,General,Tops,Blouses
836,59,Love this blouse,5,1,0,General,Tops,Blouses
844,53,Lovely printed blouse,5,1,4,General Petite,Tops,Blouses
936,27,"Love, love, love!",5,1,2,General Petite,Tops,Sweaters
895,62,Loveee,5,1,7,General,Tops,Fine gauge
836,41,,5,1,23,General,Tops,Blouses
831,50,My favorite new blouse,5,1,3,General,Tops,Blouses
844,54,A standout,5,1,13,General Petite,Tops,Blouses
895,47,,5,1,0,General,Tops,Fine gauge
1066,41,Lovely!,5,1,0,General,Bottoms,Pants
844,43,Disappointing!,2,0,0,General Petite,Tops,Blouses
836,43,Better in person,5,1,1,General,Tops,Blouses
836,23,Cuter is person,4,1,0,General,Tops,Blouses
907,25,,5,1,0,General,Tops,Fine gauge
836,51,Airy and flattering,5,1,0,General,Tops,Blouses
844,41,Awkward fit,3,0,0,General Petite,Tops,Blouses
1103,49,Beautiful color,4,1,2,General,Dresses,Dresses
866,46,Really good quality tee!,5,1,5,General,Tops,Knits
907,29,Cute top,5,1,6,General,Tops,Fine gauge
844,53,Not a good fit,1,0,17,General Petite,Tops,Blouses
895,66,Cutest vest,5,1,6,General,Tops,Fine gauge
895,32,,5,1,2,General,Tops,Fine gauge
1080,74,"Beautiful, vintage feel, delicate beadwork",5,1,9,General Petite,Dresses,Dresses
831,63,Very interesting design,5,1,0,General,Tops,Blouses
844,41,Fun and flowy,5,1,0,General Petite,Tops,Blouses
844,40,Beautiful shirt,4,1,0,General Petite,Tops,Blouses
831,40,Beautiful fabric,5,1,0,General,Tops,Blouses
836,32,,5,1,0,General,Tops,Blouses
907,49,"Nice basic piece, will get a lot of wear.",5,1,3,General,Tops,Fine gauge
844,44,,3,0,2,General Petite,Tops,Blouses
895,24,,5,1,0,General,Tops,Fine gauge
895,70,Soft patterned long vest,5,1,1,General,Tops,Fine gauge
907,30,Great piece,5,1,1,General,Tops,Fine gauge
844,47,Beautiful and timeless,5,1,0,General Petite,Tops,Blouses
836,27,"Cute top, but not for me",3,0,15,General,Tops,Blouses
844,36,So disappointed! please fix it!,2,0,0,General Petite,Tops,Blouses
844,69,Ruffled buttondown,4,1,7,General Petite,Tops,Blouses
844,52,"Exquisite blouse, runs huge",5,1,1,General Petite,Tops,Blouses
936,32,Sweater not a coat,2,0,0,General Petite,Tops,Sweaters
907,37,Soft sweater,5,1,4,General,Tops,Fine gauge
936,32,,5,1,0,General Petite,Tops,Sweaters
831,42,Could have been cute...,1,0,6,General,Tops,Blouses
907,51,Worth the sale price,5,1,2,General,Tops,Fine gauge
862,34,Almost but not quite,3,0,0,General Petite,Tops,Knits
836,37,"Nice, runs small and short",3,1,3,General,Tops,Blouses
936,50,Amazing sweatercoat!,4,1,17,General Petite,Tops,Sweaters
895,36,Great piece for layering,5,1,0,General Petite,Tops,Fine gauge
836,65,Cute but ...,3,0,0,General,Tops,Blouses
580,60,Nice thin sweatshirt,5,1,1,Initmates,Intimate,Lounge
895,46,That special lauer,5,1,0,General Petite,Tops,Fine gauge
862,38,Comfy and cute,4,1,0,General,Tops,Knits
862,37,Looks better when tried on; very cute,5,1,1,General,Tops,Knits
844,46,"Romantic print, elegant & beautiful - i love it!",5,1,4,General Petite,Tops,Blouses
836,29,,2,0,0,General,Tops,Blouses
895,39,Positively agree,5,1,0,General Petite,Tops,Fine gauge
836,25,,5,1,0,General,Tops,Blouses
895,64,Love the print & style,5,1,4,General Petite,Tops,Fine gauge
895,57,So cool,5,1,1,General Petite,Tops,Fine gauge
895,44,Modern black and white,5,1,2,General Petite,Tops,Fine gauge
836,44,Subdued sexy,5,1,6,General,Tops,Blouses
859,26,So sexy,4,1,0,General,Tops,Knits
862,37,Just okay,3,0,0,General,Tops,Knits
1049,48,One of my favorite pieces for night,5,1,0,General,Bottoms,Pants
862,35,,5,1,10,General,Tops,Knits
1089,67,Elegant and eye-catching,5,1,0,General Petite,Dresses,Dresses
1089,24,Work-appropriate lace,4,1,1,General Petite,Dresses,Dresses
1104,59,Poor quality,3,0,13,General,Dresses,Dresses
127,47,Soft and cozy,4,1,0,General Petite,Intimate,Lounge
1104,42,Looks are deceiving,3,1,0,General,Dresses,Dresses
936,29,Terrific sweater with great detail; runs large,5,1,0,General,Tops,Sweaters
902,54,Pretty/different style,4,1,3,General,Tops,Fine gauge
995,41,Poorly executed,2,0,11,General,Bottoms,Skirts
936,62,Beautiful!,5,1,9,General,Tops,Sweaters
127,29,Great with leggings!,4,1,0,General Petite,Intimate,Lounge
1104,38,Bad quality.,1,0,20,General,Dresses,Dresses
1086,25,Flattering and fun!,4,1,9,General,Dresses,Dresses
936,33,Love love love!,5,1,1,General,Tops,Sweaters
746,34,Lovely fabric but tiny hips,3,1,0,Initmates,Intimate,Intimates
1081,53,"Lovely dress, small top, different color",4,1,3,General Petite,Dresses,Dresses
127,46,Too big/so soft,3,1,0,General Petite,Intimate,Lounge
936,33,Not sure about this one,3,0,1,General,Tops,Sweaters
127,40,"Comfy, but not made to last",3,0,2,General Petite,Intimate,Lounge
1035,32,Loving these jeans!,5,1,0,General,Bottoms,Jeans
902,38,Lovely but runs big,4,1,6,General,Tops,Fine gauge
995,62,Possibly the cutest skirt ever!,5,1,11,General,Bottoms,Skirts
1104,35,,5,1,0,General,Dresses,Dresses
1089,34,Classic,5,1,0,General Petite,Dresses,Dresses
1086,26,,3,0,9,General,Dresses,Dresses
902,31,,2,1,6,General,Tops,Fine gauge
902,58,Sweet little top,5,1,3,General,Tops,Fine gauge
1094,40,Comfortable and dressy,5,1,1,General,Dresses,Dresses
1086,22,Not the best quality,3,0,3,General,Dresses,Dresses
936,55,"Soft, feminine, versatile",5,1,1,General,Tops,Sweaters
1036,66,Stylish option good for petites,4,1,0,General,Bottoms,Jeans
936,39,Sweet casual,5,1,0,General,Tops,Sweaters
1094,30,A perfect investment,5,1,1,General,Dresses,Dresses
1094,53,This dress is gorgeous!,5,1,3,General,Dresses,Dresses
1086,23,"Great dress, rough zipper",5,1,6,General,Dresses,Dresses
127,37,,5,1,1,General Petite,Intimate,Lounge
127,51,Cute & comfy top,5,1,0,General Petite,Intimate,Lounge
1083,37,Flattering and great buy on sale!,4,1,2,General,Dresses,Dresses
872,35,I love this shirt,5,1,14,General,Tops,Knits
1083,35,Flimsy,2,0,2,General,Dresses,Dresses
831,40,Super comfy,5,1,0,General,Tops,Blouses
1080,32,"Pretty pattern, weird fit",3,1,1,General,Dresses,Dresses
1077,68,Easy and stylish,5,1,2,General,Dresses,Dresses
872,65,,4,1,0,General,Tops,Knits
964,37,Very versatile,5,1,2,General,Jackets,Jackets
1089,39,Small boobies only,3,1,1,General Petite,Dresses,Dresses
872,22,Love the lace up design!,4,1,1,General,Tops,Knits
1083,50,,5,1,0,General,Dresses,Dresses
829,33,Disappointed,4,1,0,General,Tops,Blouses
964,33,Very chic,5,1,0,General,Jackets,Jackets
1089,38,,5,1,0,General Petite,Dresses,Dresses
829,32,,5,1,0,General,Tops,Blouses
829,51,Beautiful and versatile top!,5,1,0,General,Tops,Blouses
967,56,So pretty and soft,5,1,1,General,Jackets,Jackets
829,38,Great for work or fun,4,1,2,General,Tops,Blouses
829,35,Perfect shirt for work or night out.,4,1,0,General,Tops,Blouses
872,48,Flattering tee,4,1,19,General,Tops,Knits
872,31,,4,1,0,General,Tops,Knits
149,38,So soft and comfy and fit for yoga!,4,1,1,Initmates,Intimate,Lounge
964,58,Funky and classy,5,1,4,General,Jackets,Jackets
1030,63,Really cute!,5,1,1,General,Bottoms,Jeans
964,40,Love. this. jacket.,5,1,5,General,Jackets,Jackets
1083,41,Bunches up weirdly in the front,4,0,0,General,Dresses,Dresses
872,60,Cute top,4,1,1,General,Tops,Knits
872,60,Red tee,5,1,1,General,Tops,Knits
829,48,Undecided,4,1,6,General,Tops,Blouses
872,70,Great casual shirt,4,1,0,General,Tops,Knits
964,27,So much better irl,5,1,0,General,Jackets,Jackets
1089,32,,3,1,0,General Petite,Dresses,Dresses
872,26,Ultimately unimpressed,3,0,3,General,Tops,Knits
872,51,Vibrant red color,5,1,1,General,Tops,Knits
872,48,Love,5,1,0,General,Tops,Knits
1077,30,Looks fine if you don't move your arms.,2,0,0,General,Dresses,Dresses
967,56,Great plaid!,4,1,1,General,Jackets,Jackets
872,27,In love with this shirt,5,1,2,General,Tops,Knits
964,44,Perfection.,5,1,1,General,Jackets,Jackets
872,39,Perfect!,5,1,2,General,Tops,Knits
234,33,,5,1,0,Initmates,Intimate,Swim
149,33,The most comfortable pants ever,4,1,0,Initmates,Intimate,Lounge
829,60,Perfect top for work,4,1,0,General,Tops,Blouses
829,44,"Overall, i like it, but some sizing issues...",4,1,0,General,Tops,Blouses
